"name","number","start_year","end_year","supplier","latitude","longitude","elevation"
"KARUNJIE","1000","1940","1983","Bureau of Meteorology","-16.2919","127.1956","320.0"
"OOMBULGURRI","1001","1914","2012","Bureau of Meteorology","-15.1806","127.8456","2.0"
"BEVERLEY SP","1002","1959","1967","Bureau of Meteorology","-16.5825","125.4828","410.0"
"PAGO MISSION","1003","1908","1940","Bureau of Meteorology","-14.1331","126.7158","5.0"
"KUNMUNYA","1004","1915","1948","Bureau of Meteorology","-15.4167","124.7167","47.0"
"WYNDHAM PORT","1005","1886","1995","Bureau of Meteorology","-15.4644","128.1","20.0"
"WYNDHAM AERO","1006","1951","","Bureau of Meteorology","-15.51","128.1503","3.8"
"MOUNT ELIZABETH OLD SITE","1008","1959","1978","Bureau of Meteorology","-16.3017","126.1825","640.0"
"KURI BAY","1009","1961","2012","Bureau of Meteorology","-15.4875","124.5222","12.0"
"THEDA","1010","1965","","Bureau of Meteorology","-14.7883","126.4964","210.0"
"PANTA DOWNS","1011","1966","1969","Bureau of Meteorology","-16.0497","124.95","157.0"
"MITCHELL PLATEAU","1012","1968","2002","Bureau of Meteorology","-14.7925","125.8258","315.0"
"WYNDHAM","1013","1968","","Bureau of Meteorology","-15.4872","128.1247","11.0"
"EMMA GORGE","1014","1998","","Bureau of Meteorology","-15.9086","128.1283","130.0"
"KING RIVER PUMPING STN","1015","1923","1931","Bureau of Meteorology","-15.6","128.0833","4.0"
"CARSON RIVER STATION","1016","1970","1997","Bureau of Meteorology","-14.4861","126.7664","59.0"
"NULLA NULLA","1017","1923","1926","Bureau of Meteorology","-15.5","127.8333","5.0"
"MOUNT ELIZABETH","1018","1973","","Bureau of Meteorology","-16.4181","126.1025","546.0"
"KALUMBURU","1019","1997","","Bureau of Meteorology","-14.2964","126.6453","23.0"
"TRUSCOTT","1020","1944","","Bureau of Meteorology","-14.09","126.3867","51.0"
"KALUMBURU MISSION","1021","1941","2005","Bureau of Meteorology","-14.2961","126.6431","23.0"
